epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,849.64,1.40166,1.38107,1.09824,0.50933,0.5354,0.53609,0.30073,1.21425,0.9874,1.06797,0.000476015,0.000476015,0.000476015
2,1806.2,1.31221,1.00953,1.07739,0.72722,0.47969,0.57037,0.32434,1.21155,0.87746,1.05868,0.000905207,0.000905207,0.000905207
3,2872.05,1.27579,0.93341,1.06359,0.65102,0.59095,0.62796,0.36438,1.14271,0.807,1.0313,0.00128724,0.00128724,0.00128724
4,3993.16,1.23354,0.86786,1.04333,0.74344,0.56733,0.63949,0.37757,1.10187,0.76258,1.03009,0.00121679,0.00121679,0.00121679
5,4996.34,1.19284,0.82367,1.03071,0.68238,0.60451,0.64157,0.3853,1.05126,0.74712,1.00802,0.00114606,0.00114606,0.00114606
6,5650.12,1.16591,0.79309,1.02137,0.72946,0.60891,0.67101,0.39968,1.04743,0.70692,1.00496,0.00107532,0.00107532,0.00107532
7,6739.58,1.14989,0.77091,1.01488,0.76763,0.59501,0.68264,0.41031,1.04268,0.67838,0.99925,0.00100459,0.00100459,0.00100459
8,8328.79,1.12222,0.74884,1.00437,0.77294,0.62752,0.69975,0.43103,1.00762,0.65061,0.98747,0.000933851,0.000933851,0.000933851
9,9898.05,1.10081,0.72798,0.99464,0.7707,0.62785,0.705,0.43336,0.99045,0.65179,0.98148,0.000863116,0.000863116,0.000863116
10,11492.7,1.08304,0.7108,0.99052,0.76969,0.62633,0.71287,0.44543,0.97106,0.6276,0.97485,0.00079238,0.00079238,0.00079238
11,13014.5,1.06507,0.68723,0.97702,0.78308,0.61356,0.70283,0.43709,0.9901,0.64192,0.97956,0.000721645,0.000721645,0.000721645
12,14595.8,1.04569,0.67011,0.97139,0.81676,0.61469,0.72184,0.44362,1.00723,0.63516,0.98636,0.000650909,0.000650909,0.000650909
13,16168.1,1.02919,0.65317,0.96039,0.79651,0.62906,0.71732,0.44942,0.98246,0.62595,0.97813,0.000580174,0.000580174,0.000580174
14,17722.9,1.01058,0.63608,0.95745,0.83886,0.63214,0.7423,0.46742,0.96836,0.60833,0.97316,0.000509438,0.000509438,0.000509438
15,19281.6,0.99533,0.62175,0.94816,0.82585,0.66531,0.75506,0.48015,0.94886,0.59252,0.96585,0.000438703,0.000438703,0.000438703
16,20802.5,0.9732,0.60491,0.9419,0.83649,0.66576,0.7624,0.48035,0.93059,0.57449,0.95809,0.000367967,0.000367967,0.000367967
17,22370,0.96105,0.59251,0.9384,0.84606,0.66619,0.77268,0.49117,0.91948,0.5715,0.95513,0.000297232,0.000297232,0.000297232
18,24003.2,0.93663,0.5772,0.93136,0.83968,0.69461,0.78002,0.50316,0.91632,0.56125,0.95361,0.000226497,0.000226497,0.000226497
19,25041.1,0.92216,0.56354,0.92683,0.84528,0.68539,0.78436,0.50583,0.90944,0.54909,0.95109,0.000155761,0.000155761,0.000155761
20,25812.3,0.90815,0.5518,0.92186,0.85673,0.69021,0.79132,0.51604,0.89191,0.54051,0.94614,8.50255e-05,8.50255e-05,8.50255e-05
